timestamp,solexs_counts,CZT1_LC_BAND_20.00KEV_TO_40.00KEV,CZT1_LC_BAND_40.00KEV_TO_60.00KEV,CZT1_LC_BAND_60.00KEV_TO_80.00KEV,CZT1_LC_BAND_80.00KEV_TO_150.00KEV,CZT1_LC_BAND_18.00KEV_TO_160.00KEV,CZT2_LC_BAND_20.00KEV_TO_40.00KEV,CZT2_LC_BAND_40.00KEV_TO_60.00KEV,CZT2_LC_BAND_60.00KEV_TO_80.00KEV,CZT2_LC_BAND_80.00KEV_TO_150.00KEV,CZT2_LC_BAND_18.00KEV_TO_160.00KEV,CDTE2_LC_BAND_5.00KEV_TO_20.00KEV,CDTE2_LC_BAND_20.00KEV_TO_30.00KEV,CDTE2_LC_BAND_30.00KEV_TO_40.00KEV,CDTE2_LC_BAND_40.00KEV_TO_60.00KEV,CDTE2_LC_BAND_1.80KEV_TO_90.00KEV,CDTE1_LC_BAND_5.00KEV_TO_20.00KEV,CDTE1_LC_BAND_20.00KEV_TO_30.00KEV,CDTE1_LC_BAND_30.00KEV_TO_40.00KEV,CDTE1_LC_BAND_40.00KEV_TO_60.00KEV,CDTE1_LC_BAND_1.80KEV_TO_90.00KEV,hel1os_czt_total,hel1os_10_20,hel1os_20_40,hel1os_40_60,hel1os_60_80,hel1os_80_150,solexs_gap,hel1os_gap,solexs_smooth,hel1os_smooth,solexs_ewm,hel1os_ewm,solexs_baseline,hel1os_baseline,solexs_excess,hel1os_excess,hardness_ratio,hardness_ratio_excess,d_solexs_dt,d2_solexs_dt2,d_hel1os_dt,solexs_mean_5m,solexs_std_5m,solexs_rise_rate_15m,hel1os_mean_5m,hel1os_std_5m,flare_signal_sigma,prob_flare_1h,prob_flare_2h,forecast_expected_flux_1h,forecast_risk_level
2026-07-18 00:00:00+00:00,1.0,17.4,2.6,2.3,7.4,35.85,14.7,3.75,2.7,7.65,31.65,0.15,0.10526315789473684,0.1,0.35,0.8,0.0,0.1,0.5,0.1,0.3,27.551020408163264,0.0,13.10204081632653,2.7755102040816326,2.0408163265306123,6.142857142857143,0,0,1.0,27.551020408163264,1.0,27.551020408163264,0.0,0.0,1.0,27.551020408163264,13.825510204081633,25.05547309833024,0.0,0.0,0.0,1.0,0.0,0.0,27.551020408163264,0.0,0.08974715143977594,10.157825895981624,93.58276934952208,25.529114594206867,GUARDED
2026-07-18 00:00:30+00:00,1.0,16.366666666666667,1.7333333333333334,1.7666666666666666,4.9,30.166666666666668,10.9,2.7666666666666666,1.9,5.466666666666667,22.366666666666667,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.36666666666666664,1.0,0.0,0.03333333333333333,0.06666666666666667,0.3,17.130434782608695,0.0,8.891304347826088,1.5217391304347827,1.1956521739130435,3.380434782608696,1,0,1.0,22.340727595385978,1.0,26.899733806566104,0.0,0.0,1.0,22.340727595385978,11.22036379769299,20.318843268532707,0.0,0.0,-0.02170955338657201,1.0,0.0,0.0,24.94587400177462,3.6842333798823486,0.08974715143977594,9.076876207678014,93.98265091115893,33.89165577251253,LOW
2026-07-18 00:01:00+00:00,1.0,16.166666666666668,1.6666666666666667,1.5333333333333334,4.933333333333334,28.533333333333335,15.7,2.8666666666666667,1.8333333333333333,5.233333333333333,27.6,0.1,0.0,0.0,0.1,0.26666666666666666,0.0,0.0,0.0,0.03333333333333333,0.1,14.033333333333333,0.0,7.966666666666667,1.1666666666666667,0.8416666666666667,2.5416666666666665,0,0,1.0,17.130434782608695,1.0,25.678571428571427,0.0,0.0,1.0,17.130434782608695,8.615217391304348,15.582213438735177,0.0,0.0,-0.04070541259982256,1.0,0.0,0.0,22.34072759538598,5.210292812777284,0.08974715143977594,8.716559644910145,94.76589081071315,33.11319825401039,LOW
2026-07-18 00:01:30+00:00,1.0,13.933333333333334,1.6,1.4666666666666666,4.666666666666667,25.633333333333333,10.1,2.8333333333333335,1.5,5.833333333333333,21.366666666666667,0.0,0.03333333333333333,0.0,0.16666666666666666,0.23333333333333334,0.03333333333333333,0.0,0.0,0.06666666666666667,0.16666666666666666,11.75,0.0,6.008333333333334,1.1666666666666667,0.7416666666666667,2.625,1,0,1.0,15.581884057971013,1.0,24.416485507246378,0.0,0.0,1.0,15.581884057971013,7.8409420289855065,14.17444005270092,0.0,0.0,-0.04206953071083497,1.0,0.0,0.0,20.651016711032238,5.433101534795734,0.08974715143977594,8.53640136352621,95.24229163421496,33.11319825401039,LOW
2026-07-18 00:02:00+00:00,1.0,7.866666666666666,1.4,1.4,3.5,17.466666666666665,7.133333333333334,1.8333333333333333,1.5333333333333334,4.566666666666666,16.1,0.06666666666666667,0.0,0.0,0.1,0.2,0.0,0.06666666666666667,0.0,0.1,0.2,8.391666666666667,0.0,3.75,0.8583333333333333,0.7333333333333333,2.0166666666666666,1,0,1.0,14.033333333333333,1.0,23.11859148550725,0.0,0.0,1.0,14.033333333333333,7.066666666666666,12.766666666666666,0.0,0.0,-0.04326313405797097,1.0,0.0,0.0,19.327480035492457,5.558569139000098,0.08974715143977594,8.428306394695847,95.52813212831606,33.17450876259279,LOW
2026-07-18 00:02:30+00:00,1.0,13.266666666666667,1.9666666666666666,1.7,4.633333333333334,26.033333333333335,16.766666666666666,3.3666666666666667,1.6,5.2,28.766666666666666,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.13333333333333333,0.26666666666666666,13.7,0.0,7.508333333333334,1.4,0.825,2.4583333333333335,1,0,1.0,13.866666666666667,1.0,21.96210088315218,0.0,0.0,1.0,13.866666666666667,6.983333333333333,12.615151515151515,0.0,0.0,-0.038549686745169016,1.0,0.0,0.0,18.417344474021494,5.448690956547255,0.08974715143977594,8.356243082142274,95.71869245771678,33.17450876259279,LOW
2026-07-18 00:03:00+00:00,1.0,8.7,1.3333333333333333,1.8,5.133333333333334,20.933333333333334,10.6,2.433333333333333,1.7666666666666666,6.1,22.133333333333333,0.13333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.0,0.0,0.03333333333333333,0.23333333333333334,10.766666666666667,0.0,4.825,0.9666666666666667,0.8916666666666667,2.808333333333333,1,0,1.0,13.7,1.0,20.929338272758155,0.0,0.0,1.0,13.7,6.8999999999999995,12.463636363636361,0.0,0.0,-0.03442542034646744,1.0,0.0,0.0,17.74343812058985,5.283866263984034,0.08974715143977594,7.995926519374405,96.23347991691648,33.17450876259279,LOW
2026-07-18 00:03:30+00:00,1.0,14.3,2.3666666666666667,1.4666666666666666,4.966666666666667,27.0,10.3,2.2,2.1666666666666665,5.8,22.166666666666668,0.16666666666666666,0.0,0.0,0.13333333333333333,0.36666666666666664,0.0,0.06666666666666667,0.0,0.06666666666666667,0.16666666666666666,12.291666666666666,0.0,6.15,1.1916666666666667,0.9083333333333333,2.691666666666667,0,0,1.0,12.291666666666666,1.0,19.84962932199672,0.0,0.0,1.0,12.291666666666666,6.195833333333333,11.183333333333332,0.0,0.0,-0.03599029835871453,1.0,0.0,0.0,17.061966688849452,5.2579469331343285,0.08974715143977594,7.995926519374405,96.61497352223726,33.17450876259279,LOW
2026-07-18 00:04:00+00:00,1.0,12.2,2.1666666666666665,1.6333333333333333,4.3,25.4,16.066666666666666,3.2,2.3,5.866666666666666,29.5,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.43333333333333335,0.0,0.0,0.0,0.0,0.03333333333333333,13.725,0.0,7.066666666666666,1.3583333333333334,0.9833333333333333,2.5416666666666665,0,0,1.0,12.291666666666666,1.0,18.90488399008046,0.0,0.0,1.0,12.291666666666666,6.195833333333333,11.183333333333332,0.0,0.0,-0.0314915110638753,1.0,0.0,0.0,16.531933353051365,5.169010857138417,0.08974715143977594,7.995926519374405,96.6714941047204,33.17450876259279,LOW
2026-07-18 00:04:30+00:00,1.0,7.366666666666666,0.9,1.3333333333333333,3.966666666666667,16.466666666666665,5.266666666666667,2.3,1.5333333333333334,4.266666666666667,14.566666666666666,0.03333333333333333,0.0,0.0,0.1,0.13333333333333333,0.0,0.03333333333333333,0.0,0.06666666666666667,0.16666666666666666,7.758333333333334,0.0,3.158333333333333,0.8416666666666667,0.7166666666666667,2.058333333333333,0,0,1.0,11.75,1.0,18.010523491320402,0.0,0.0,1.0,11.75,5.925,10.69090909090909,0.0,0.0,-0.029812016625335266,1.0,0.0,0.0,16.05374001774623,5.102609178574355,0.08974715143977594,7.995926519374405,96.6714941047204,33.17450876259279,LOW
